Disease ID,Disease Name,Disease Class,associated_gene_id
C0007194,Hypertrophic Cardiomyopathy,cardiovascular system disease,"11186, 23493, 2548, 3315, 3329, 3630, 4607, 4609, 4624, 4633, 4635, 4719, 4830, 5443, 58498, 5894, 6548, 6902, 7139, 7157, 9997"
C0008370,Cholestasis,gastrointestinal system disease,"100126309, 10062, 123264, 1244, 1432, 1581, 1582, 1593, 1728, 1958, 200931, 2243, 2920, 3383, 3479, 3569, 3576, 406884, 406891, 406920, 406961, 406965, 407000, 407012, 407019, 407055, 442905, 4780, 4843, 494323, 494326, 5054, 5173, 5265, 5443, 5603, 5962, 5970, 6354, 644, 6615, 693121, 7124, 7376, 7412, 80270, 8647, 8714, 9002, 9420, 9962, 9963, 9971"
C0235032,Neurotoxicity Syndromes,nervous system disease,"120, 147, 1577, 1728, 2353, 241, 2475, 2570, 27040, 4780, 5023, 5243, 5327, 5444, 5580, 590, 598, 6039, 6430, 6489, 7051, 7078, 836, 83716, 885, 915"
C0002171,Alopecia Areata,immune system disease,"102723878, 1493, 154064, 25824, 2833, 3559, 3627, 4283, 55014, 64375, 79465"
C0002170,Alopecia,integumentary system disease,"100188784, 1244, 1392, 142, 23328, 23476, 367, 4524, 54503, 55806, 6716, 6832, 7421, 7538, 8797"
C0752166,Bardet-Biedl Syndrome,monogenic disease,"10806, 11020, 123016, 129880, 166379, 22954, 26160, 27241, 4867, 51057, 54585, 54903, 55212, 582, 583, 585, 79738, 80184, 8195, 84100, 91147, 92482"
C0279626,Squamous cell carcinoma of esophagus,cancer,"100048912, 1026, 1029, 1072, 113278, 116, 1192, 120114, 1244, 125, 130540, 1381, 1387, 1476, 1548, 1890, 1956, 2033, 217, 2195, 2196, 2280, 25800, 25816, 2665, 2739, 2810, 2952, 301, 3091, 3146, 3309, 340061, 378938, 3860, 3861, 3872, 3880, 4017, 406999, 4085, 4255, 4780, 482, 4851, 4853, 4854, 494335, 5052, 51196, 5144, 51741, 5216, 55294, 567, 5720, 5721, 5743, 58508, 5925, 595, 6317, 645, 6648, 6657, 6876, 701, 7157, 7167, 7168, 7169, 7403, 7494, 7515, 759, 760, 79633, 8085, 811, 829, 8342, 84817, 84962, 861, 9446"
C0022658,Kidney Diseases,urinary system disease,"1026, 10665, 10736, 11136, 1191, 142, 1440, 147, 1471, 1489, 150280, 1509, 1536, 1558, 1577, 1636, 1728, 183, 185, 1906, 1950, 2056, 210, 213, 2243, 2247, 23322, 2628, 26762, 27283, 284086, 29108, 2950, 301, 3075, 3116, 3207, 3237, 3479, 3557, 3934, 3953, 4036, 406967, 406991, 4353, 4524, 4601, 4780, 4843, 4867, 4868, 4881, 50484, 5125, 54361, 5443, 5465, 54805, 54974, 55244, 55764, 567, 5696, 57007, 5743, 59, 5950, 5972, 65125, 6559, 6582, 6648, 6678, 7015, 7020, 7033, 7040, 7055, 7369, 793, 79809, 834, 8437, 84560, 84662, 90865, 9104, 9365, 9899"
C1800706,Idiopathic Pulmonary Fibrosis,respiratory system disease,"100128977, 10144, 1832, 23250, 255520, 5073, 51750, 5328, 54472, 6440, 653509, 7012, 7015, 727897, 729238, 79991, 91039"
C0004238,Atrial Fibrillation,cardiovascular system disease,"10021, 1482, 1636, 1674, 1906, 2100, 23224, 3360, 3741, 3759, 3782, 4524, 463, 4846, 4879, 5396, 6331, 6336, 6401, 6660, 7450, 7478, 84909, 857, 858, 9992"
C0019189,"Hepatitis, Chronic",gastrointestinal system disease,"10063, 1356, 150684, 27232, 2876, 3082, 3440, 3855, 3880, 4087, 4233, 4288, 4489, 475, 538, 59, 6647, 6774, 7040, 836, 847, 9973"
C0017658,Glomerulonephritis,urinary system disease,"133, 1674, 1675, 183, 2099, 213, 2833, 3458, 3553, 3558, 3559, 3569, 3576, 3586, 3606, 3727, 406892, 406903, 4803, 4868, 5443, 5468, 6346, 6347, 6348, 6351, 6352, 6354, 7124, 7490"
C0025286,Meningioma,cancer,"1471, 1476, 1514, 207, 210, 3280, 4771, 5155, 5241, 5728, 6608, 8028"
C0004943,Behcet Syndrome,cardiovascular system disease,"100528032, 101928376, 102724748, 1230, 149233, 170679, 29842, 3106, 335, 337867, 338, 3383, 3576, 3586, 3592, 3595, 3683, 3689, 4210, 5054, 51752, 64127, 6775, 7099, 720, 8302, 847"
C0025202,melanoma,cancer,"10013, 100996521, 1017, 1028, 1029, 10397, 10481, 10557, 10589, 10743, 10855, 10963, 11098, 11141, 114795, 115265, 116071, 116150, 1191, 1207, 126129, 1280, 128611, 128869, 130540, 1356, 142, 1437, 1440, 1474, 1493, 1545, 160762, 161291, 1630, 170589, 172, 1740, 1823, 1869, 1896, 202559, 2033, 2035, 2056, 2057, 2066, 2067, 2150, 2185, 2194, 220929, 221074, 221079, 221294, 222537, 222546, 22914, 2321, 23270, 23512, 23532, 23742, 245806, 25797, 25842, 25913, 26227, 26472, 26503, 26507, 2739, 2767, 2776, 283130, 283316, 285761, 2903, 29103, 2913, 29901, 30062, 3066, 3205, 3238, 328, 3371, 338398, 340273, 3439, 3440, 3442, 3456, 3458, 3558, 356, 3619, 3820, 3958, 402, 405, 4157, 4193, 4217, 4241, 4293, 4317, 434, 4507, 4600, 4647, 472, 4763, 4794, 4878, 4893, 5078, 5080, 51151, 5133, 51501, 5305, 5332, 53353, 5443, 54663, 5468, 54790, 55014, 55149, 55331, 5537, 55504, 55862, 5604, 5605, 56128, 56925, 57016, 57120, 5728, 5743, 57678, 57700, 5796, 5800, 58189, 5879, 5880, 5909, 5922, 6098, 6188, 6392, 64215, 64799, 6494, 6528, 6538, 6565, 673, 6790, 6850, 6860, 7001, 7015, 7099, 7124, 7157, 7299, 7365, 740, 7424, 7517, 7536, 79068, 79633, 7980, 79852, 80070, 8028, 8029, 80723, 81037, 823, 8295, 83638, 8398, 841, 84285, 843, 8452, 8558, 9088, 9317, 9518, 9610, 9689, 9712, 9832, 9846, 9869, 9947, 9985"
C0007117,Basal cell carcinoma,cancer,"100048912, 100307118, 100307119, 100307120, 100307121, 100307122, 100307123, 130540, 26166, 2736, 353238, 3569, 378805, 3852, 3872, 4157, 434, 51151, 5727, 5921, 6608, 7015, 7053, 7157, 7299, 7507, 7517, 81037, 8643"
C0020517,Hypersensitivity,immune system disease,"10417, 10803, 1230, 1235, 150684, 1543, 1828, 213, 23, 2833, 29126, 2919, 3106, 3117, 3119, 3123, 3126, 3127, 3240, 3458, 3553, 3554, 3560, 3565, 3568, 3569, 3572, 3596, 3603, 3605, 3606, 3689, 3827, 4283, 4524, 4638, 50856, 5196, 5473, 5608, 6347, 6348, 6351, 6354, 6355, 6356, 6361, 6363, 6364, 6369, 6374, 6376, 6403, 6696, 6863, 7040, 7124, 7132, 7133, 729230, 7850, 834, 959"
C0001418,Adenocarcinoma,cancer,"10232, 10266, 1028, 1029, 11186, 1152, 143187, 1490, 1499, 1548, 1571, 1588, 1592, 1612, 1636, 1786, 1938, 1950, 1956, 2023, 2064, 2099, 2100, 2202, 2254, 2475, 25, 2520, 2543, 2878, 2886, 29108, 3206, 324, 3312, 3329, 335, 3399, 3439, 348, 3553, 3576, 3791, 3845, 3856, 4233, 4288, 4297, 4323, 4354, 4583, 4790, 4846, 4878, 4968, 5074, 5111, 51196, 51292, 51738, 5223, 5241, 5245, 5265, 5290, 5328, 54474, 5468, 5587, 5617, 56287, 563, 5728, 5731, 5743, 58508, 5915, 59340, 596, 6091, 634, 6599, 6648, 6696, 6774, 6776, 6794, 6847, 6934, 7040, 7124, 7157, 7170, 7306, 7367, 759, 760, 780, 79633, 8202, 8289, 841, 8626, 864, 8797, 8856, 8991, 9420"
C0011854,"Diabetes Mellitus, Insulin-Dependent",acquired metabolic disease,"100128081, 10019, 100506742, 10584, 10666, 10745, 1129, 114904, 1356, 139716, 1401, 146754, 1493, 1512, 160365, 1649, 169792, 2065, 22979, 23274, 23316, 246778, 25865, 26191, 26291, 29121, 29949, 3117, 3119, 3122, 3123, 3240, 3291, 3458, 3479, 3481, 3559, 3586, 3630, 3710, 3767, 387103, 4008, 4842, 4846, 4938, 50604, 5078, 50943, 51214, 5236, 53347, 55315, 55384, 55423, 55876, 5588, 5771, 60468, 60495, 6364, 64135, 64375, 6556, 677, 6774, 6833, 6927, 7124, 723961, 7297, 80018, 84162, 847, 8935, 9131, 969"
C0038454,Cerebrovascular accident,cardiovascular system disease,"1636, 1906, 196743, 213, 2147, 2153, 217, 2833, 335, 3360, 3383, 3553, 3557, 3569, 3613, 3659, 3674, 3685, 3690, 4018, 4524, 463, 4843, 5144, 5327, 5328, 54498, 5563, 5743, 6647, 7040, 7124, 7291, 7351, 79001, 7941, 92369, 9734"
C0206726,gliosarcoma,cancer,"10460, 1555, 1562, 1956, 2260, 2261, 3417, 346288, 4255, 4792, 5447, 5468, 6867, 7157, 7422, 8216"
C0019284,Diaphragmatic Hernia,musculoskeletal system disease,"1080, 183, 1906, 1909, 1910, 2006, 2247, 23414, 2626, 2627, 2697, 3170, 3202, 3213, 3383, 3479, 3481, 3569, 362, 3737, 3745, 3778, 4036, 4846, 4878, 64220, 6439, 6440, 652, 6586, 7026, 7040, 7055, 7067, 7068, 7080, 7124, 7345, 7412, 7490, 8817"
C0003504,Aortic Valve Insufficiency,cardiovascular system disease,"11167, 1277, 1281, 1490, 2335, 4015, 4878, 4879, 7040, 7042, 7076"
C0038644,Sudden infant death syndrome,sudden infant death syndrome,"1139, 1141, 23171, 3757, 3764, 3784, 4535, 4567, 6324, 6330, 6331, 6532, 859"
C0032285,Pneumonia,respiratory system disease,"10803, 1230, 1235, 142, 1437, 196, 23, 23411, 2833, 2919, 3162, 3458, 3553, 3554, 3560, 3565, 3568, 3569, 3572, 3596, 3605, 3606, 3689, 4283, 4638, 5196, 5443, 6347, 6351, 6354, 6355, 6356, 6361, 6363, 6364, 6369, 6374, 6376, 6696, 7040, 7124, 7132, 7133, 729230, 7850, 834, 959"
C0035258,Restless Legs Syndrome,nervous system disease,"100188812, 100188813, 100188839, 100302512, 100302561, 114781, 192142, 4211, 450097, 5443, 5607, 5789, 643714, 7018"
C0206686,Adrenocortical carcinoma,cancer,"1029, 1499, 1616, 1956, 3480, 3481, 4221, 5243, 5925, 6240, 6678, 673, 7015, 7153, 7157, 84133, 9968"
C0917796,"Optic Atrophy, Hereditary, Leber",nervous system disease,"100188775, 3552, 3553, 4508, 4514, 4519, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4556, 6121, 9227"
C1142166,Brugada Syndrome (disorder),cardiovascular system disease,"10008, 10021, 23171, 23493, 3752, 3764, 54795, 55800, 6324, 6331, 6336, 775, 781, 783, 7871"
C0033805,Pseudohypoaldosteronism,urinary system disease,"149775, 26249, 2778, 4306, 6337, 6338, 6340, 65125, 65266, 7830, 8675"
C0677886,Epithelial ovarian cancer,cancer,"102800310, 1306, 1366, 171024, 257202, 25976, 28, 284654, 29086, 401022, 442913, 4905, 5290, 54361, 57522, 6928, 7015, 7157, 79915, 8028, 8631, 92421"
C0027708,Nephroblastoma,cancer,"11010, 11281, 129563, 1499, 1653, 1740, 255738, 2719, 283120, 3481, 4810, 5978, 675, 6948, 7428, 7490"
C0085207,Gestational Diabetes,acquired metabolic disease,"10644, 1588, 2247, 23410, 2645, 367, 3952, 3953, 4153, 54901, 6648, 9370"
C0085110,Severe Combined Immunodeficiency,immune system disease,"100, 204, 3575, 3718, 5896, 5897, 64421, 7037, 7535, 915, 916"
C1140680,Malignant neoplasm of ovary,cancer,"102800310, 126549, 1499, 25976, 29086, 401022, 4978, 5290, 672, 675, 6928, 8028, 83990, 8631, 92421"
C0027707,"Nephritis, Interstitial",urinary system disease,"1401, 1559, 1565, 1634, 213, 4803, 6346, 6347, 6354, 7057"
C0010278,Craniosynostosis,musculoskeletal system disease,"1947, 2077, 2146, 2263, 27241, 4745, 55764, 57539, 650, 6938, 7291"
C0027092,Myopia,nervous system disease,"100129620, 100359401, 10265, 10579, 1280, 1297, 1665, 2313, 2893, 3908, 393093, 399959, 4285, 443, 4990, 5371, 56479, 57369, 57706, 5789, 5799, 5923, 5959, 64084, 646960, 650, 654, 6641, 6711, 6733, 7434, 84690, 89795, 9745, 9839"
C1336708,Testicular Germ Cell Tumor,cancer,"101927688, 1062, 1618, 1761, 2261, 27306, 3815, 4254, 4313, 5307, 55159, 55729, 578, 63978, 6793, 6794, 6928, 7371, 8093, 81848, 8379, 8888, 9534, 9673"
C0006118,Brain Neoplasms,cancer,"1019, 1029, 113878, 1559, 1612, 23411, 238, 27436, 28514, 3558, 388585, 4255, 441478, 5111, 5444, 5727, 595, 5970, 6608, 6648, 6696, 7052, 7422"
C0020619,Hypogonadism,endocrine system disease,"1082, 1586, 1588, 2488, 2796, 2798, 3952, 3953, 3972, 5424, 55315, 5617, 6866, 6870"
C0026650,Movement Disorders,nervous system disease,"10367, 10911, 1268, 1392, 1812, 1813, 1814, 23237, 2348, 2354, 283989, 3064, 3084, 43, 4988, 5173, 6323, 6558, 7504, 79042, 80746"
C0020456,Hyperglycemia,acquired metabolic disease,"10549, 1281, 1728, 177, 2200, 2641, 2645, 2876, 3159, 3290, 3630, 3643, 3953, 4780, 4846, 5579, 5743, 6492, 6667, 8660"
C0206062,"Lung Diseases, Interstitial",respiratory system disease,"100128334, 10144, 1314, 151827, 1832, 23250, 29119, 3712, 4137, 4583, 64478, 64798, 6648, 7015, 79991, 91039"
C0028326,Noonan Syndrome,monogenic disease,"144568, 1969, 23522, 3265, 3845, 4893, 5604, 5605, 5781, 5894, 5922, 6016, 6654, 6655, 673, 8036, 8216"
C0020459,Hyperinsulinism,endocrine system disease,"1281, 1831, 2200, 2641, 2746, 2876, 3162, 3172, 3630, 3643, 3667, 3952, 3953, 4160, 4846, 79661"
C0023434,Chronic Lymphocytic Leukemia,cancer,"100048912, 100188791, 100270642, 100270643, 100270644, 10665, 11073, 11262, 115761, 23451, 23547, 25797, 25865, 25913, 26034, 28444, 29125, 29949, 3117, 3394, 3431, 3500, 355, 3569, 3662, 3676, 400997, 406935, 406937, 406950, 4524, 472, 4988, 5027, 51176, 5366, 5423, 5527, 55289, 55892, 5743, 57476, 578, 59, 5934, 595, 596, 64506, 64864, 7037, 7157, 7421, 8101, 81037, 817, 8302, 841, 8600, 8792, 90427, 921, 9855"
C0021051,Immunologic Deficiency Syndromes,immune system disease,"1675, 1789, 3075, 3953, 57724, 713, 718, 720, 727, 731, 732, 735, 7535, 775, 8547, 916, 948"
C0020615,Hypoglycemia,endocrine system disease,"2936, 3481, 3553, 3630, 5265, 5465, 6648, 6927, 7124, 775"
C0019829,Hodgkin Disease,cancer,"10797, 1440, 200942, 2625, 2950, 3440, 3596, 399717, 4792, 54658, 5770, 5820, 5966, 64084, 6929, 8320, 8837, 943"
C0034951,Refractive Errors,nervous system disease,"100528022, 1146, 2893, 317761, 388336, 3908, 4642, 5095, 54715, 55748, 56479, 57369, 5801, 5923, 6096, 70, 776, 79698, 9414"
C0279628,Adenocarcinoma Of Esophagus,cancer,"1029, 1794, 23111, 23373, 27086, 4089, 4745, 5290, 56033, 5743, 7099, 7157, 8289, 9844"
C0002895,"Anemia, Sickle Cell",monogenic disease,"1723, 3043, 3240, 4879, 53335, 7124, 7372, 7412, 790, 8131"
C0524620,Metabolic Syndrome X,acquired metabolic disease,"10062, 102724766, 10452, 1071, 116519, 1401, 157273, 19, 23411, 23644, 2590, 2646, 283450, 3159, 3358, 338, 3569, 3606, 3630, 3929, 3952, 3992, 4023, 4846, 51085, 5444, 56729, 57761, 57818, 6347, 6462, 6934, 7021, 746, 79068, 79661, 816, 84811, 8647, 8856, 8882, 9370, 9415, 9970"
C0338480,Common Migraine,nervous system disease,"221692, 23063, 23245, 338342, 4035, 4209, 6863, 79054, 796, 79783, 9457, 9910"
C0019196,Hepatitis C,viral infectious disease,"1234, 1548, 1576, 23586, 282617, 3077, 3440, 3458, 4015, 4017, 4023, 4988, 5788, 949, 975"
C0023794,Lipoidosis,inherited metabolic disorder,"11067, 1174, 12, 2168, 26471, 3249, 4047, 427, 440, 5468, 55062, 6319, 64838, 6515, 6876, 79153, 83729, 8431, 9415"
C1527249,Colorectal Cancer,cancer,"100131315, 100996485, 101805488, 101927324, 10714, 120376, 143187, 1499, 171472, 259217, 2625, 26585, 283050, 3911, 3915, 399948, 4092, 4512, 51474, 5157, 5290, 55289, 55892, 64359, 6581, 673, 6926, 6934, 7040, 745, 80114, 80776, 81928, 85415, 894, 999"
C0004153,Atherosclerosis,cardiovascular system disease,"10152, 1269, 1401, 142, 1535, 1593, 177, 183, 19, 196, 2099, 23411, 240, 241, 246, 2944, 3240, 3269, 3304, 337, 3383, 3458, 348, 3481, 356, 3569, 3949, 4018, 4048, 4312, 470, 4843, 4846, 4864, 5054, 5320, 5327, 5444, 5468, 5743, 6347, 6348, 6351, 64240, 6647, 6648, 6774, 7099, 7124, 7274, 7412, 7422, 7442, 9021, 9370"
C0025500,Mesothelioma,benign neoplasm,"10232, 1027, 1029, 11186, 1734, 1956, 1958, 2099, 2246, 2247, 2272, 22827, 23741, 2475, 2662, 2719, 2934, 2944, 324, 3458, 4582, 4771, 4831, 5154, 5241, 54716, 55600, 56034, 6648, 6696, 6850, 7296, 7490, 7515, 7517, 8314, 847, 84700, 8915, 94274, 999"
C0013421,Dystonia,nervous system disease,"1137, 1565, 1861, 25792, 2643, 2774, 478, 55145, 55532, 60, 6342, 7054, 84947, 8575"
C0162809,Kallmann Syndrome,endocrine system disease,"10371, 128674, 1848, 2253, 2260, 23767, 26012, 3730, 389549, 54756, 55636, 55717, 60675, 6663, 6870, 81848, 84634, 8820, 8822, 9394"
C1168401,Squamous cell carcinoma of the head and neck,cancer,"1029, 10397, 10413, 1244, 1956, 282617, 3202, 3236, 3237, 3621, 3814, 407007, 4363, 5243, 540, 54556, 5728, 5743, 6648, 6845, 7157, 841, 8795, 8900, 9429"
C0949658,"Cardiomyopathy, Hypertrophic, Familial",cardiovascular system disease,"1410, 1674, 1829, 23171, 27063, 3920, 4563, 4565, 4607, 4624, 4625, 4633, 4634, 57158, 6331, 7137, 7139, 7168, 8048, 859, 88, 91624, 9992"
C0238288,"Muscular Dystrophy, Facioscapulohumeral",musculoskeletal system disease,"100288687, 1026, 1281, 1634, 176, 2006, 22947, 23347, 2483, 2953, 3304, 3308, 4060"
C0009447,Common Variable Immunodeficiency,immune system disease,"115650, 1380, 23495, 29851, 4790, 4791, 5580, 8742, 930, 931, 975, 987"
C0004096,Asthma,respiratory system disease,"100130503, 10111, 1017, 101928940, 101928947, 101929231, 10451, 10665, 108, 11127, 117, 117156, 134430, 142, 149628, 154, 169026, 1728, 1767, 1786, 1906, 2066, 217, 222256, 22806, 23108, 23194, 23274, 23418, 240, 2549, 25890, 282617, 284110, 286046, 29119, 2944, 2950, 30009, 3113, 3115, 3117, 3119, 3123, 3135, 3162, 3176, 3291, 3371, 3383, 3553, 3557, 3560, 3565, 3567, 3570, 3593, 3596, 374, 383, 384, 387129, 3880, 4088, 414764, 4318, 4319, 4589, 4602, 4843, 4852, 4855, 5089, 51088, 51131, 5142, 5144, 5328, 5515, 55876, 5592, 5660, 5728, 596, 6037, 60495, 6095, 632, 6347, 6352, 6356, 64375, 6490, 6584, 6647, 6701, 7040, 7078, 7096, 7124, 7145, 7356, 7422, 7941, 847, 85480, 8809, 8989, 90865, 9173, 929, 94103, 9547"
C0018671,Head and Neck Neoplasms,cancer,"1050, 1440, 1806, 1956, 2195, 23532, 2876, 2922, 374, 4118, 5594, 5595, 5888, 5915, 596, 598, 6778, 7039, 7298, 7389, 7422, 7517, 9582"
C0029401,Osteitis Deformans,musculoskeletal system disease,"10133, 1435, 23165, 5131, 5371, 79890, 81501, 8792, 8878, 94003"
C0034065,Pulmonary Embolism,cardiovascular system disease,"10461, 153090, 2056, 2243, 4524, 5327, 5328, 6915, 7056, 7498, 847"
C0349639,Juvenile Myelomonocytic Leukemia,cancer,"10019, 1437, 171023, 1788, 2146, 22800, 23092, 26040, 2624, 3718, 3845, 4763, 4893, 5781, 5880, 6237, 8233, 861, 867"
C0002395,Alzheimer's Disease,nervous system disease,"100128590, 100130950, 100289673, 10082, 101927587, 101929423, 102465508, 10347, 10418, 10452, 10658, 10659, 10858, 10979, 1139, 1141, 114876, 1191, 1200, 121601, 123041, 137682, 1378, 1392, 1471, 1496, 154215, 1565, 161, 1636, 1657, 168667, 1718, 1808, 196051, 1965, 2, 2023, 2041, 2099, 2147, 2185, 222255, 22976, 23026, 23072, 23215, 23237, 23385, 23413, 23607, 23621, 2567, 25902, 26330, 267, 27115, 27328, 274, 285965, 28969, 2932, 29780, 29949, 3077, 3162, 323, 338645, 341, 3416, 343641, 344148, 3479, 348, 3480, 3481, 3482, 3492, 351, 353128, 3553, 3630, 3635, 3643, 388325, 3952, 400511, 406938, 4129, 4137, 4299, 43, 4321, 4336, 4353, 450086, 4524, 4535, 4846, 4852, 498, 51338, 5328, 54205, 54209, 54498, 5468, 54798, 54828, 55063, 55351, 55676, 55691, 5621, 5649, 5663, 5664, 56776, 5697, 57091, 57569, 57687, 581, 5819, 590, 596, 60412, 627, 642, 64231, 644135, 64478, 644873, 64851, 6517, 6648, 6653, 7018, 7019, 7124, 7167, 7422, 7447, 7782, 780912, 79660, 79685, 79722, 79789, 801, 80320, 8081, 8301, 836, 84466, 84888, 8738, 8878, 8913, 9019, 932, 9325, 945, 9498, 9705, 9844, 9846"
C0085580,Essential Hypertension,cardiovascular system disease,"100188321, 100188807, 100188808, 100188825, 117191, 118, 1577, 183, 185, 1889, 2784, 387575, 444980, 481, 4843, 4846, 50986, 51320, 5740, 6401, 8490"
C0151744,Myocardial Ischemia,cardiovascular system disease,"1000, 10059, 10462, 1052, 10611, 1075, 10928, 10959, 10965, 1153, 117579, 1326, 1329, 1375, 1398, 1401, 1432, 153, 154, 1634, 166, 1737, 183, 1843, 1848, 1906, 1959, 2006, 201475, 2029, 203, 2150, 2152, 2171, 2246, 2247, 226, 22919, 23491, 2628, 2634, 2643, 2690, 27020, 2710, 2729, 2768, 28984, 2920, 2938, 2946, 2950, 2992, 3030, 3082, 3097, 3098, 3099, 3146, 3158, 3162, 3164, 3303, 3306, 3313, 334, 3383, 3397, 3399, 3459, 3479, 3486, 3552, 3553, 3569, 3572, 3627, 3659, 3717, 3726, 374, 3764, 3791, 389, 406, 4223, 4254, 4329, 4478, 4599, 4691, 4734, 476, 4792, 4846, 4878, 5034, 5037, 5142, 5160, 5166, 5209, 5213, 5236, 5320, 5443, 5471, 54738, 5495, 5515, 5534, 5581, 5693, 5786, 5834, 5868, 595, 60, 60674, 6139, 6252, 6258, 6262, 6347, 6348, 6351, 6376, 6401, 6403, 6533, 6546, 6648, 6678, 6776, 6817, 6890, 6935, 7037, 7091, 7112, 7124, 713, 7139, 7296, 7357, 7386, 7412, 7422, 7538, 7846, 7879, 79924, 811, 817, 81876, 821, 83939, 83992, 8553, 8773, 894, 9021, 91543, 9314, 9370, 9451, 948, 9518, 952, 9588, 9637"
C0034069,Pulmonary Fibrosis,respiratory system disease,"1051, 1215, 1232, 1437, 1440, 1490, 1906, 1950, 2006, 2246, 2247, 2252, 26585, 2920, 3082, 3162, 3479, 3553, 3565, 3567, 3569, 3576, 3593, 3596, 4092, 4204, 4313, 4318, 4780, 5154, 5155, 5265, 57105, 5806, 6347, 6348, 6351, 6352, 6356, 6498, 655, 6696, 7039, 7040, 7076, 7124, 729230, 796"
C0020473,Hyperlipidemia,inherited metabolic disorder,"1071, 133522, 154, 155, 2641, 324, 338, 348, 3667, 3949, 3953, 3990, 4010, 4023, 4846, 5465, 79661"
C0026848,Myopathy,musculoskeletal system disease,"10367, 10599, 1376, 1440, 1508, 213, 2170, 270, 3094, 3156, 3363, 3553, 3630, 383, 4089, 4128, 440275, 4549, 4571, 4572, 5465, 5837, 5913, 7040, 7136, 7273, 729920, 84466, 9177"
C0035828,Romano-Ward Syndrome,monogenic disease,"10142, 287, 3753, 3757, 3762, 3784, 6330, 6331, 6640, 801, 805, 859, 9722, 9992"
C0038325,Stevens-Johnson Syndrome,integumentary system disease,"10320, 10659, 10987, 142, 1440, 1499, 2033, 213, 26270, 3105, 3106, 3107, 3440, 3458, 4282, 4734, 4843, 4924, 5371, 5705, 5733, 5740, 5925, 7415, 79139, 8451, 8454, 857, 9844, 9978"
C0025958,Microcephaly,congenital nervous system abnormality,"10059, 10084, 10293, 10617, 10733, 11284, 1778, 2074, 2290, 26128, 283989, 284403, 3796, 3800, 407975, 4998, 6513, 6925, 701, 7283, 79042, 80254, 80746, 84879, 8573"
C0019202,Hepatolenticular Degeneration,gastrointestinal system disease,"1356, 191, 2, 308, 348, 3569, 3576, 3586, 4015, 4017, 438, 4713, 540, 54949, 5530, 5532, 5621, 56899, 57817, 635, 6622, 7076, 7124, 815"
C0751778,"Myoclonic Epilepsies, Progressive",nervous system disease,"10939, 1822, 26278, 3746, 378884, 4758, 5274, 54982, 5621, 57465, 7248, 7957"
C0026846,Muscular Atrophy,musculoskeletal system disease,"10370, 114907, 1499, 207, 25937, 2688, 270, 2932, 3479, 3757, 6647, 7274, 84676"
C0004782,Basal Ganglia Diseases,nervous system disease,"10367, 1565, 1813, 1814, 3356, 5155, 5159, 5617, 6575, 80704, 8622, 9213"
C0014553,Absence Epilepsy,nervous system disease,"114327, 1181, 2562, 2566, 50966, 51305, 773, 8629, 8912, 9254"
C0019163,Hepatitis B,viral infectious disease,"1548, 2903, 3113, 3115, 3240, 3439, 3440, 3455, 3456, 3458, 3459, 3588, 4015, 4017, 6554, 7332"
C0024115,Lung diseases,respiratory system disease,"10253, 10265, 10365, 114131, 1395, 1490, 151, 153572, 154, 1636, 2, 26253, 27125, 3091, 3170, 338339, 3480, 3482, 3596, 3643, 3815, 3948, 4317, 4353, 5125, 5154, 5156, 5265, 5591, 5743, 5744, 5745, 6337, 6338, 64220, 6439, 6648, 683, 7040, 7055, 7080, 7124, 7356, 7422, 79191, 79192, 83716, 9446, 976"
C0268237,Cytochrome-c Oxidase Deficiency,inherited metabolic disorder,"100131801, 116228, 1340, 1352, 22868, 28958, 4512, 4513, 4514, 4567, 4570, 51204, 6341, 6834, 84334, 84987, 9997"
C0035304,Retinal Degeneration,nervous system disease,"1356, 1406, 145226, 23322, 2668, 4901, 5158, 54806, 57560, 596, 6010, 6103, 64802, 6647, 84839"
